country,year,gdp,pop,unemp
AD,2005,3.69734853506562,0.078867,NA
AD,2006,3.87514251624022,0.080993,NA
AD,2007,3.93533077025056,0.082684,NA
AD,2008,3.71655839851518,0.083862,NA
AE,2005,257.36693886998,4.588225,3.11999988555908
AE,2006,282.684947637849,5.300174,3.05999994277954
AE,2007,291.68673933287903,6.168838,2.99000000953674
AE,2008,300.996902491491,7.089487,2.84999990463257
AF,2005,9.16459845853792,25.654277,11.5200004577637
AF,2006,9.65558295398018,26.433049,11.3400001525879
AF,2007,10.9905947065564,27.100536,11.1800003051758
AF,2008,11.4219737708233,27.722276,11.1099996566772
AG,2005,1.14928018081721,0.081465,NA
AG,2006,1.29533241325319,0.082704,NA
AG,2007,1.41599759078741,0.084026,NA
AG,2008,1.41579452750139,0.085397,NA
AL,2005,9.22320258388038,3.011487,16.3999996185303
AL,2006,9.76737927988863,2.992547,16.1700000762939
AL,2007,10.3514668062388,2.970017,15.9700002670288
AL,2008,11.1278236657504,2.947314,13.0600004196167
AM,2005,7.666474468512789,2.981269,10.3400001525879
AM,2006,8.67844909831555,2.958307,10.0699996948242
AM,2007,9.86739662491901,2.932618,9.8100004196167
AM,2008,10.5482469920808,2.907618,13.5100002288818
AO,2005,56.2904917771201,19.433602,3.80999994277954
AO,2006,62.790739426972,20.149901,3.73000001907349
AO,2007,71.5877334753748,20.905363,3.66000008583069
AO,2008,79.5813188228055,21.695634,3.63000011444092
AR,2005,333.61831135041496,38.892931,11.5100002288818
AR,2006,360.46508229796,39.289878,10.0799999237061
AR,2007,392.934518437813,39.684295,8.47000026702881
AR,2008,408.87678779480905,40.08016,7.84000015258789
AS,2005,0.6292863436123349,0.059562,NA
AS,2006,0.603066079295154,0.059107,NA
AS,2007,0.6149074889867839,0.058365,NA
AS,2008,0.598837004405286,0.057492,NA
AT,2005,367.272646184907,8.227829,5.63000011444092
AT,2006,379.958397036836,8.268641,5.23999977111816
AT,2007,394.1210244651761,8.295487,4.8600001335144
AT,2008,399.876861217528,8.321496,4.13000011444092
AU,2005,995.550062444482,20.3948,5.03000020980835
AU,2006,1023.37107753656,20.6979,4.78000020980835
AU,2007,1062.71181873997,20.8276,4.38000011444092
AU,2008,1101.58532318017,21.2492,4.23000001907349
AW,2005,2.69882491629108,0.100031,NA
AW,2006,2.72717897402819,0.100834,NA
AW,2007,2.77627435820761,0.101222,NA
AW,2008,2.77375605397674,0.101358,NA
AZ,2005,24.740902926326697,8.39185,7.26000022888184
AZ,2006,33.2681543274079,8.48455,6.61999988555908
AZ,2007,41.7392962917775,8.5813,6.32999992370605
AZ,2008,46.1600876856421,8.7634,5.8600001335144
BA,2005,14.9213131348433,3.765331,30.3999996185303
BA,2006,15.7291535607731,3.765424,31.1100006103516
BA,2007,16.6507432915849,3.762786,28.9799995422363
BA,2008,17.5568512307796,3.754271,23.4099998474121
BB,2005,4.481,0.276323,9.07999992370605
BB,2006,4.7455,0.277477,8.72999954223633
BB,2007,4.85,0.2787,7.40999984741211
BB,2008,4.884,0.279946,8.11999988555908
BD,2005,85.8603679334753,139.035505,4.25
BD,2006,91.5888900987471,140.921167,3.58999991416931
BD,2007,98.0537829059494,142.660376,3.91000008583069
BD,2008,103.950531260888,144.304167,4.28999996185303
BE,2005,446.825975230479,10.478617,8.4399995803833
BE,2006,458.2305377575479,10.547958,8.25
BE,2007,475.079129959516,10.6257,7.46000003814697
BE,2008,477.202395106604,10.709973,6.98000001907349
BF,2005,7.736021215032699,13.42193,4
BF,2006,8.21976736192083,13.829176,3.64000010490417
BF,2007,8.55771315253562,14.252021,3.29999995231628
BF,2008,9.05405980860577,14.689725,3.61999988555908
BG,2005,42.9478927051545,7.658972,10.0799999237061
BG,2006,45.8692803387161,7.601022,8.94999980926514
BG,2007,48.8769662284417,7.545338,6.88000011444092
BG,2008,51.8514363786577,7.492561,5.6100001335144
BH,2005,19.6204787234043,0.889164,1.07000005245209
BH,2006,20.889335106383,0.958418,1.12999999523163
BH,2007,22.6218882978723,1.035919,1.20000004768372
BH,2008,24.0346276595745,1.114641,1.22000002861023
BI,2005,1.62834428844335,7.364862,1.80999994277954
BI,2006,1.7164997078749,7.607849,1.73000001907349
BI,2007,1.7757524622736,7.862214,1.6599999666214
BI,2008,1.86208445049236,8.126102,1.62999999523163
BJ,2005,7.89739213947095,7.982225,0.800000011920929
BJ,2006,8.20884465968716,8.216897,0.810000002384186
BJ,2007,8.700254776298001,8.454793,0.819999992847443
BJ,2008,9.126269457949618,8.696921,0.850000023841858
BM,2005,6.736374176523871,0.064154,NA
BM,2006,7.10982972928519,0.064523,NA
BM,2007,7.34766346678588,0.064888,NA
BM,2008,7.21055931222666,0.065273,NA
BN,2005,13.2644084341768,0.365114,6.09999990463257
BN,2006,13.8477399339934,0.370263,6.30000019073486
BN,2007,13.8691460212688,0.374965,6.48999977111816
BN,2008,13.6001241657499,0.379421,6.6100001335144
BO,2005,15.6966072828068,9.232306,2.8199999332428
BO,2006,16.4495749736788,9.395446,2.72000002861023
BO,2007,17.2003965366119,9.558439,2.64000010490417
BO,2008,18.257962435196703,9.721454,2.59999990463257
BR,2005,1774.79988278763,186.127103,9.56999969482422
BR,2006,1845.11725397908,188.167356,8.64000034332275
BR,2007,1957.1134838563,190.130443,8.32999992370605
BR,2008,2056.81266984993,192.030362,7.34000015258789
BS,2005,10.2143371484409,0.324859,10.1999998092651
BS,2006,10.4714170946489,0.331033,7.53999996185303
BS,2007,10.6229106343785,0.337389,7.88000011444092
BS,2008,10.3760865370885,0.343681,8.18000030517578
